[  489.901522] loop_size:0 >>>> variance(cycles): 327; max_deviation: 500; min time: 44
[  489.902247] loop_size:1 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.902977] loop_size:2 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.903698] loop_size:3 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.904423] loop_size:4 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.905136] loop_size:5 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.905857] loop_size:6 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  489.906578] loop_size:7 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.907310] loop_size:8 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.908030] loop_size:9 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.908753] loop_size:10 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.909473] loop_size:11 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.910194] loop_size:12 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.910919] loop_size:13 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.911643] loop_size:14 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.912365] loop_size:15 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.913088] loop_size:16 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.913809] loop_size:17 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.914523] loop_size:18 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.915254] loop_size:19 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.915977] loop_size:20 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.916699] loop_size:21 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.917420] loop_size:22 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.918140] loop_size:23 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.918867] loop_size:24 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.919588] loop_size:25 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.920311] loop_size:26 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.921032] loop_size:27 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.921753] loop_size:28 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.922474] loop_size:29 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.923209] loop_size:30 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.923930] loop_size:31 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.924651] loop_size:32 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.925366] loop_size:33 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  489.926089] loop_size:34 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.926817] loop_size:35 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.927539] loop_size:36 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.928259] loop_size:37 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.928980] loop_size:38 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.929694] loop_size:39 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.930416] loop_size:40 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.931151] loop_size:41 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.931873] loop_size:42 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.932594] loop_size:43 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.933314] loop_size:44 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.934035] loop_size:45 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.934765] loop_size:46 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.935487] loop_size:47 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.936208] loop_size:48 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.936928] loop_size:49 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.937649] loop_size:50 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.938370] loop_size:51 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.939105] loop_size:52 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.939826] loop_size:53 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.940548] loop_size:54 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.941270] loop_size:55 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.941985] loop_size:56 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.942713] loop_size:57 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.943436] loop_size:58 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.944158] loop_size:59 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.944880] loop_size:60 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.945602] loop_size:61 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.946323] loop_size:62 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.947054] loop_size:63 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.947771] loop_size:64 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.948491] loop_size:65 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.949213] loop_size:66 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.949928] loop_size:67 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.950651] loop_size:68 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.951374] loop_size:69 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.952097] loop_size:70 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.952817] loop_size:71 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.953538] loop_size:72 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.954258] loop_size:73 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.954985] loop_size:74 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.955707] loop_size:75 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.956421] loop_size:76 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.957141] loop_size:77 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.957856] loop_size:78 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.958570] loop_size:79 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.959300] loop_size:80 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.960022] loop_size:81 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.960743] loop_size:82 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.961457] loop_size:83 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.962178] loop_size:84 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.962907] loop_size:85 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.963629] loop_size:86 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.964349] loop_size:87 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.965070] loop_size:88 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.965784] loop_size:89 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.966506] loop_size:90 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.967236] loop_size:91 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.967959] loop_size:92 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.968680] loop_size:93 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.969402] loop_size:94 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.970122] loop_size:95 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.970849] loop_size:96 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.971572] loop_size:97 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.972294] loop_size:98 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.973014] loop_size:99 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.973729] loop_size:100 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.974449] loop_size:101 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.975180] loop_size:102 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.975895] loop_size:103 >>>> variance(cycles): 3; max_deviation: 52; min time: 44
[  489.976618] loop_size:104 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.977339] loop_size:105 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.978060] loop_size:106 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.978788] loop_size:107 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.979510] loop_size:108 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.980230] loop_size:109 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.980951] loop_size:110 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.981665] loop_size:111 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  489.982386] loop_size:112 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.983116] loop_size:113 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.983838] loop_size:114 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.984559] loop_size:115 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.985273] loop_size:116 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.985993] loop_size:117 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.986722] loop_size:118 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.987444] loop_size:119 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.988164] loop_size:120 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.988885] loop_size:121 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.989606] loop_size:122 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.990326] loop_size:123 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.991050] loop_size:124 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.991772] loop_size:125 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.992493] loop_size:126 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.993214] loop_size:127 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.993934] loop_size:128 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.994662] loop_size:129 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.995384] loop_size:130 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.996098] loop_size:131 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.996819] loop_size:132 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.997540] loop_size:133 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.998261] loop_size:134 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.998989] loop_size:135 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  489.999711] loop_size:136 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.000431] loop_size:137 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.001154] loop_size:138 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.001874] loop_size:139 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.002602] loop_size:140 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.003323] loop_size:141 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.004046] loop_size:142 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.004766] loop_size:143 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.005480] loop_size:144 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.006203] loop_size:145 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.006930] loop_size:146 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.007651] loop_size:147 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.008373] loop_size:148 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.009093] loop_size:149 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.009810] loop_size:150 >>>> variance(cycles): 2; max_deviation: 52; min time: 44
[  490.010532] loop_size:151 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.011266] loop_size:152 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.011982] loop_size:153 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.012703] loop_size:154 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.013423] loop_size:155 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.014142] loop_size:156 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.014864] loop_size:157 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.015586] loop_size:158 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.016306] loop_size:159 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.017027] loop_size:160 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.017747] loop_size:161 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.018468] loop_size:162 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
[  490.019200] loop_size:163 >>>> variance(cycles): 0; max_deviation: 8; min time: 88
