[  119.196438] loop_size:0 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.196821] loop_size:1 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.197197] loop_size:2 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.197577] loop_size:3 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.197958] loop_size:4 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.198335] loop_size:5 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.198712] loop_size:6 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.199088] loop_size:7 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.199465] loop_size:8 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.199841] loop_size:9 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.200217] loop_size:10 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.200593] loop_size:11 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.200969] loop_size:12 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.201345] loop_size:13 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.201731] loop_size:14 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.202103] loop_size:15 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.202472] loop_size:16 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.202840] loop_size:17 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.203210] loop_size:18 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.203576] loop_size:19 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.203947] loop_size:20 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.204318] loop_size:21 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.204688] loop_size:22 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.205059] loop_size:23 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.205430] loop_size:24 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.205817] loop_size:25 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.206185] loop_size:26 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.206554] loop_size:27 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.206923] loop_size:28 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[  119.207293] loop_size:29 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.207663] loop_size:30 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.208034] loop_size:31 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[  119.208407] loop_size:32 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
