[ 1667.409368] loop_size:0 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.409745] loop_size:1 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.410115] loop_size:2 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.410493] loop_size:3 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.410870] loop_size:4 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.411246] loop_size:5 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.411626] loop_size:6 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.412004] loop_size:7 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.412379] loop_size:8 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.412749] loop_size:9 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.413137] loop_size:10 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.413510] loop_size:11 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.413881] loop_size:12 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.414254] loop_size:13 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.414625] loop_size:14 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.414997] loop_size:15 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.415369] loop_size:16 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.415739] loop_size:17 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.416109] loop_size:18 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.416479] loop_size:19 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.416850] loop_size:20 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.417232] loop_size:21 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.417603] loop_size:22 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.417973] loop_size:23 >>>> variance(cycles): 0; max_deviation: 0; min time: 44
[ 1667.418343] loop_size:24 >>>> variance(cycles): 0; max_deviation: 104; min time: 44
[ 1667.418715] loop_size:25 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.419086] loop_size:26 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.419456] loop_size:27 >>>> variance(cycles): 0; max_deviation: 104; min time: 44
[ 1667.419828] loop_size:28 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.420200] loop_size:29 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.420572] loop_size:30 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.420944] loop_size:31 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.421334] loop_size:32 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.421701] loop_size:33 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.422073] loop_size:34 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.422442] loop_size:35 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.422811] loop_size:36 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.423183] loop_size:37 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.423556] loop_size:38 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
[ 1667.423928] loop_size:39 >>>> variance(cycles): 0; max_deviation: 4; min time: 44
